Postcode,Area,City,StreetNumber,StreetName,FullAddress
3986,Tamarau,Mount Maunganui,12,Papanui Street,"12 Kinver Place, Spreydon, Christchurch"
3987,Tamatea,Auckland,8,Golfland Drive,"8 Amber Grove, Burwood, Christchurch"
3988,Taradale,Tauranga,332,Puhara Avenue,"332 Puketapu Road, Taradale, Napier"
3989,Tauhara,Nelson,403,Waiwaka Terrace,"403 Allanton Road, Outram"
3990,Tawa,Auckland,19,Drumston Place,"19 Tutaritari Road, Hahei"
3991,Tawhero,Lower Hutt,26/56,King Street South,"26/56 Gladson Avenue, Sockburn, Christchurch"
3992,Taylorville,Waiouru,53,Mark Ball Drive,"53 Richardson Road, Mount Albert, Auckland"
3993,Te Aro,Waimate,179,Reeves Road,"179 Golf Road, Titirangi, Auckland"
3994,Te Atatu Peninsula,Timaru,410,Cust Road,"410 Herbert Street, Windsor, Invercargill"
3995,Te Atatu South,Te Awamutu,140,Mount Albert Road,"140 Otipua Road, Watlington, Timaru"
3996,Te Awa,Nelson,208,Foster Road,"208 King Road, Mangawhai"
3997,Te Hapara,Tokoroa,9A,Pine Drive,"9A France Road, Bluff Hill, Napier"
3998,Te Marua,Lower Hutt,21,Ratau Street,"21 Umukaria Road, Owhata, Rotorua"
4010,Te Rapa,Hamilton,10,State Highway 27,"10 Waianiwa Place, Tokoroa"
4022,Te Rapa Park,Christchurch,12,Georges Drive,"12 Harrow Street, Dunedin Central, Dunedin"
4032,Temple View,Auckland,12,Bank Street,"12 Evesham Place, Newlands, Wellington"
4040,Templeton,Clyde,100B/113,Strathearn Road,"100B/113 Worcester Street, Christchurch Central, Christchurch"
4041,Terrace End,Christchurch,53,Little Akaloa Road,"53 Ranui Avenue, Ranui, Auckland"
4042,The Brook,Christchurch,49,Torrens Road,"49 Campbell Street, Geraldine"
4043,The Gardens,Lower Hutt,86A,Waihirere Drive,"86A Avondale Road, Avondale, Auckland"
4044,The Glen,Te Kuiti,6,Drew Street,"6 Ivy Place, Matua, Tauranga"
4045,The Wood,Christchurch,106,Fergusson Drive,"106 Lees Ferry Road, Atarau"
4046,Thorndon,Oamaru,40B,Blackhead Road,"40B West Coast Road, Glen Eden, Auckland"
4047,Three Kings,Auckland,55,Longford Park Drive,"55 Garden Road, Avalon, Lower Hutt"
4048,Tikipunga,Auckland,21,Station Road,"21 Piko Street, Titahi Bay, Porirua"
4049,Timaru Port,Palmerston North,10A,Yule Street,"10A Mays Road, St Albans, Christchurch"
4050,Timberlea,Porirua,1029,Wairiki Road,"1029 Foxton Shannon Road, Moutoa"
4051,Tindalls Beach,Auckland,Jan 15,Clyde Street,"1/15 Lavas Place, Mount Wellington, Auckland"
4052,Tinwald,Mount Maunganui,34,Bodi Place,"34 Ferry Road, Woodend Beach, Woodend"
4071,Tirohanga,Nelson,49,Regent Street,"49 Harbour View Road, Omokoroa"
4072,Tisbury,Whanganui,88,Marshall Laing Avenue,"88 Rosario Crescent, Red Beach"
4073,Titahi Bay,Palmerston North,44A,Kaiwaka Road,"44A Albert Road, Devonport, Auckland"
4075,Titirangi,Raglan,58,Intrepid Crescent,"58 Kulim Avenue, Otumoetai, Tauranga"
4077,Toi Toi,Dunedin,292,Iranui Road,"292 Crane Road, Kauri"
4078,Tomoana,Dunedin,1/25A,Taipa View Road,"1/25A Balmain Road, Birkenhead, Auckland"
4079,Torbay,Auckland,251,Adelaide Road,"251 Harewood Road, Bishopdale, Christchurch"
4081,Totara Heights,Oamaru,2,Upland Street,"2 Orohena Close, Northpark, Auckland"
4082,Totara Park,Cambridge,17B,Lizzie Lane,"17B Ngatoto Street, Khandallah, Wellington"
4083,Totara Vale,Wanaka,58,Nikau Street,"58 Kirby Street, Glendene, Auckland"
4086,Trentham,Woodend,39,State Highway 2,"39 Chamberlain Avenue, Amberley"
4087,Turnbull Thomson Park,Christchurch,57A,Clifton Drive,"57A Waimairi Road, Upper Riccarton, Christchurch"
4091,Two Mile Bay,Taupo,32,McFadzean Drive,"32 John Rymer Place, Kohimarama, Auckland"
4092,Unsworth Heights,Thames,33,Duncansby Road,"33 Nikau Street, Inglewood"
4093,Upper Riccarton,Kaiapoi,20,Amokura Street,"20 Kelvin Street, Invercargill"
4094,Upper Vogeltown,Rakaia,176,Morrison Road,"176 Washpen Road, Windwhistle"
4102,Vauxhall,Rolleston,37,Clare Street,"37 Simpson Road, Papamoa Beach, Papamoa"
4104,Vogeltown,Whanganui,36,Roycroft Street,"36 Canongate, Dunedin Central, Dunedin"
4108,Wadestown,Cambridge,715B,Upper Buller Gorge Road,"715B South Hillend Dipton Road, South Hillend"
4110,Waiake,Wellington,1943,Waimaire Avenue,"1943 Tutukau Road, Ohakuri"
4112,Waiareka Junction,Auckland,506,Field Terrace,"506 Whangaparaoa Road, Stanmore Bay, Whangaparaoa"
4120,Waiatarua,Morrinsville,309,Postman Road,"309 Lochheads Road, Mount Somers"
4122,Waihopai,Thames,7C,Union Street,"7C Urquhart Street, Whanganui"
4130,Waikanae Beach,Wellington,35,Manga Pirau Street,"35 Denver Avenue, Sunnyvale, Auckland"
4140,Waikawa,Rotorua,35,Bedford Avenue,"35 Gardner Avenue, New Lynn, Auckland"
4141,Waikiwi,Auckland,5,Taupo Road,"5 Susan Place, Deanwell, Hamilton"
4142,Waimairi Beach,Auckland,2/141,Paul Crescent,"2/141 Waiwhetu Road, Waterloo, Lower Hutt"
4143,Waimataitai,Orewa,9,Lyndon Street,"9 Francis Curtis Avenue, Blockhouse Bay, Auckland"
4144,Wainoni,Auckland,2,Bob Charles Drive,"2 Dornoch Street, Kew, Dunedin"
4145,Wainui,New Plymouth,8,Beresford Street,"8 Holborn Drive, Stokes Valley, Lower Hutt"
4146,Wainuiomata,Auckland,312,Birchwood Lane,"312 Main South Road, Hornby, Christchurch"
4147,Waiouru Military Camp,Dunedin,202,Tumbledown Bay Road,"202 New Windsor Road, New Windsor, Auckland"
4148,Waipahihi,Hamilton,9,Kuku East Road,"9 Kea Street, Riccarton, Christchurch"
4149,Wairakei,Christchurch,2,Devon Road,"2 Puroto Street, Meadowbank, Auckland"
4153,Wairau Valley,Masterton,27,Bird Grove,"27 Gawler Street, Te Horo Beach"
4154,Waitakere,Pirongia,10,The Rise,"10 Brighton Way, Pyes Pa, Tauranga"
4155,Waitangirua,Timaru,35,East Coast Road,"35 Ferry Road, Wade Heads, Whangaparaoa"
4156,Waitarere Beach,Hastings,Jun 17,Barbados Way,"6/17 Commons Avenue, Mount Maunganui"
4157,Waiwhakaiho,Richmond,954,Fyfe Road,"954 Matapouri Road, Matapouri"
4158,Waiwhetu,Christchurch,5,Cashmere View Street,"5 Swinburne Street, Blockhouse Bay, Auckland"
4159,Wakari,Carterton,1/156,Tawhai Street,"1/156 Selwyn Street, Onehunga, Auckland"
4160,Wakatu,Tokoroa,144,Sydney Street,"144 Russell Street, Westport"
4161,Waldronville,Te Aroha,32,Fairlea Road,"32 Wyndham Street, Carterton"
4162,Wallaceville,Gore,75A,Taupo Bay Road,"75A Benson Road, Remuera, Auckland"
4163,Waltham,Auckland,31,Warspite Avenue,"31 Lyndhurst Crescent, Aranui, Christchurch"
4164,Wanganui Airport,Morrinsville,10,Sovereign Street,"10 Ihaka Street, Hokowhitu, Palmerston North"
4165,Wanganui East,Auckland,72,Korere-Tophouse Road,"72 Paterson Street, Grasmere, Invercargill"
4166,Washdyke,Kaiapoi,8,Seddon Street,"8 Ihakara Street, Paraparaumu"
4171,Washington Valley,Huntly,1641,Humphries Road,"1641 Whangarei Heads Road, Whangarei Heads"
4172,Waterloo,Christchurch,67,Burnham Street,"67 Alexander Avenue, Torbay, Auckland"
4174,Waterview,Rotorua,251,Brockville Road,"251 Ruatoki Valley Road, Ruatoki"
4175,Watlington,Upper Hutt,16,Dalethorpe Road,"16 Beverley Street, St Albans, Christchurch"
4178,Wattle Downs,Temuka,51,Alma-Maheno Road,"51 Glendining Avenue, North East Valley, Dunedin"
4179,Waverley,Red Beach,73,Revell Court,"73 Kapukapu Road, Hamurana"
4181,Welbourn,Temuka,38,Oliphant Road,"38 Lister Crescent, Maraenui, Napier"
4182,Wellington Central,Pauanui,18,Tuam Street,"18 Oldham Street, Orepuki"
4183,West End,Masterton,20,Turakina Valley Road,"20 Tarata Grove, Lansdowne, Masterton"
4184,West Harbour,Wellington,1880,Omori Road,"1880 Main North Road, Sefton"
4186,West Invercargill,Porirua,4,Rotokohu Road,"4 Browne Street, Kawerau"
4188,Westbrook,Wellington,24A,Baird Street,"24A Anzac Road, Morningside, Whangarei"
4189,Western Heights,Auckland,48A,Tolben Place,"48A Hathaway Avenue, Karori, Wellington"
4191,Western Springs,Auckland,10,Princes Street,"10 Hillside Terrace, Witherlea, Blenheim"
4193,Westmere,Auckland,321,Kimptonfields Court,"321 Maungarangi Road, Paengaroa"
4195,Westmorland,Auckland,1,Leicester Street,"1 Louisa Grove, Waitangirua, Porirua"
4196,Weston,Dunedin,22,Beachville Road,"22 Pearsons Avenue, Claudelands, Hamilton"
4197,Westown,Lower Hutt,3,Corokia Place,"3 Taipari Road, Te Atatu Peninsula, Auckland"
4198,Westshore,Hawera,693,Sandersons Road,"693 Carrington Road, Hurworth"
4200,Weymouth,Auckland,985,Fenton Street,"985 Fergusson Drive, Ebdentown, Upper Hutt"
4202,Whalers Gate,Ashburton,57,Park Road,"57 Jack Boyd Drive, Mangawhai Heads, Mangawhai"
4203,Wharewaka,Auckland,29,Spencer Road,"29 Kowhai Place, Tokoroa"
4210,Whataupoko,Whakatane,1/104,Lake Ferry Road,"1/104 Barrington Street, Somerfield, Christchurch"
4240,Whau Valley,Blenheim,47A,Huihuitaha Road,"47A Huntington Drive, Huntington Park, Auckland"
4241,Whenuapai,Timaru,202/2A,Diamond Street,"202/2A Raurenga Avenue, Royal Oak, Auckland"
4242,Whitby,Wellington,68,Hall Crescent,"68 Access Road, Kumeu"
4243,Whitiora,Levin,81,Cable Bay Block Road,"81 Parry Crescent, Lake Hawea"
4244,Wigram,Auckland,27,Piriti Drive,"27 Nazareth Avenue, Middleton, Christchurch"
4245,Wilton,Auckland,155,Rodeo Drive,"155 Rosebank Road, Avondale, Auckland"
4271,Windsor,Auckland,5069,Cherry Drive,"5069 Roxburgh-Ettrick Road, Ettrick"
4272,Windsor Park,Pukekohe,232,Manuka Bay Road,"232 Wainui South Road, Whakamarama"
4273,Wiri,Gisborne,34A,St Albans Avenue,"34A Beckenham Avenue, Royal Oak, Auckland"
4274,Witherlea,Alexandra,5,State Highway 2,"5 Kilgour Road, Greymouth"
4275,Woburn,Taupo,33,Cobham Lane,"33 Iversen Terrace, Waltham, Christchurch"
4276,Woodbourne,Auckland,125,Thames Coast Road,"125 Fraser Street, Te Awamutu"
4277,Woodhaugh,Warkworth,20,Forbes Place,"20 Stonehaven Crescent, West End, Palmerston North"
4278,Woodhill,Hamilton,159,Pukearuhe Road,"159 Porter Road, Paparoa"
4279,Woodridge,Tauranga,301,Forth Street,"301 Hape Road, Thames"
4281,Woolston,Masterton,48,Masonic Place,"48 Morvern Crescent, Tokoroa"
4282,Woolwich,Timaru,30,Growers Lane,"30 Meldrum Street, Winton"
4283,Yaldhurst,Gisborne,24,Rielly Place,"24 Lantana Road, Green Bay, Auckland"
4284,Yelverton,Auckland,Jan 37,Randolph Street,"1/37 Aurora Terrace, Hillcrest, Hamilton"
4285,York Bay,Wellington,77,Chastudon Place,"77 Liardet Street, New Plymouth"
4286,Abbey Caves,Dargaville,29,Barraud Street,"29 Rahui Road, Greenhithe, Auckland"
4287,Abbotsford,Wellington,7,Onepu Spring Road,"7 Rawhiti Street, Diamond Harbour"
4288,Acacia Bay,Christchurch,4,The Gardens Drive,"4 Hamilton Place, Glenfield, Auckland"
4291,Addington,Auckland,102,Partridge Road,"102 Queens Drive, Lyall Bay, Wellington"
4292,Ahuriri,Napier,23,Twickenham Close,"23 Tarata Street, Saint Johns Hill, Whanganui"
4293,Akina,Dunedin,159,York Avenue,"159 Harold Holt Avenue, Pirimai, Napier"
4294,Albany,Auckland,32,Meadowbank Road,"32 South Road, Manaia"
4295,Albany Heights,Alexandra,4,Everton Road,"4 Wakanoi Place, Bowentown, Waihi Beach"
4310,Albert Town,Auckland,1262,Siberia Road,"1262 New North Road, Avondale, Auckland"
4312,Alfriston,Auckland,3,Glendale Crescent,"3 Marua Road, Ellerslie, Auckland"
4314,Algies Bay,Auckland,57,Mayfield Klondyke Road,"57 Livesys Road, Saint Andrews"
4320,Alicetown,Auckland,33,Ormandy Road,"33 St Jude Street, Avondale, Auckland"
4322,Allenton,Lower Hutt,29A,Layard Street,"29A Fairs Road, Milson, Palmerston North"
4330,Andersons Bay,Auckland,104,Te Whiti Road,"104 Eden Street, Oamaru"
4332,Annesbrook,Papamoa,25A,Seymour Street,"25A Manly Park Avenue, Manly, Whangaparaoa"
4335,Aotea,Nelson,54,Rangitoto Road,"54 Durham Crescent, Fairfield, Lower Hutt"
4340,Appleby,Auckland,14,Aotaki Street,"14 Cotterell Place, St Arnaud"
4341,Aramoho,Auckland,45,Swansea Street,"45 Burns Road, Hospital Hill, Napier"
4342,Aranui,Levin,147,Tamaki Drive,"147 Hurndall Street West, Maungaturoto"
4343,Arapuni,Foxton,61,Hedges Street,"61 Larch Crescent, Alexandra"
4344,Arkles Bay,Putaruru,405,Koromiko Street,"405 Lyndon Road West, Hastings"
4345,Army Bay,New Plymouth,3,Thornlea Grove,"3 Realm Place, Massey, Auckland"
4346,Aro Valley,Hastings,16,Covil Avenue,"16 Ailsa Street, Te Kuiti"
4347,Ascot,Rotorua,13,Mariposa Avenue,"13 Fookes Street, Midhirst"
4348,Ascot Park,Turangi,15,Taranga Road,"15 Amy Kate Street, Tikipunga, Whangarei"
4349,Atawhai,Auckland,8,Spinella Drive,"8 Carrington Street, St Albans, Christchurch"
4350,Auckland Airport,Ashhurst,7296,Royal Terrace,"7296 State Highway 35, Te Kaha"
4351,Auckland Central,Auckland,2B,Ashbury Avenue,"2B Suffolk Place, Cannons Creek, Porirua"
4352,Avalon,Napier,91A,Mangakahia Road,"91A Wainui Street, Riccarton, Christchurch"
4353,Avenal,New Plymouth,7,Marama Avenue South,"7 Mary Street, Mangapapa, Gisborne"
4360,Avenues,Auckland,8,Normandy Street,"8 Jerram Street, Mount Albert, Auckland"
4371,Avondale,Taupo,44,Hill Road,"44 Stillwater Crescent, Stillwater"
4372,Avonhead,Whanganui,33,Yarrow Street,"33 Scarborough Road, Scarborough, Christchurch"
4373,Avonside,Christchurch,19,Pohutukawa Avenue,"19 Oxford Terrace, Devonport, Auckland"
4374,Awapuni,Palmerston North,17,Aberdeen Road,"17 The Avenue, Paraparaumu Beach, Paraparaumu"
4375,Awatoto,Papakura,63,Nimstedt Avenue,"63 Surrey Road, Springvale, Whanganui"
4376,Bader,Mount Maunganui,417,Hillsborough Road,"417 Manchester Street, Christchurch Central, Christchurch"
4377,Balaclava,Auckland,35C,Puniwhakau Road,"35C Upton Street, Wanaka"
4378,Bastia Hill,Inglewood,37,West End Road,"37 Kelvin Road, Papakura"
4379,Bay View,Upper Hutt,20,Shands Road,"20 Morrow Terrace, Pukekohe"
4381,Bayswater,Palmerston North,32C,Shetland Street,"32C Lakeside Drive, Orewa"
4382,Bayview,Christchurch,3,Faldo Drive,"3 Calypso Place, Spencerville, Christchurch"
4383,Beach Haven,Auckland,27,Brighton Road,"27 Taraire Crescent, Otangarei, Whangarei"
4386,Beachlands,Auckland,157,St Aidans Way,"157 Sandymount Road, Sandymount"
4387,Beachville,Dunedin,4,Green Road,"4 Gadd Place, Whakatane"
4388,Beckenham,Auckland,01 Aug,Waikawa Road,"1/8 Lingfield Street, Glenfield, Auckland"
4389,Beerescourt,Christchurch,2,James Road,"2 William Blofield Avenue, Mount Roskill, Auckland"
4390,Belfast,Palmerston North,5A,King Street,"5A Sampson Lane, Northcote, Auckland"
4391,Bell Block,Dunedin,49,Cairn Road,"49 James Evans Drive, Northcote, Auckland"
4392,Belleknowes,Auckland,51,Rimu Lane,"51 Roberta Drive, Somerfield, Christchurch"
4393,Belmont,Christchurch,11,Hukanui Road,"11 Fantail Lane, Takamatua"
4394,Berhampore,Auckland,30,Polley Crescent,"30 Scoular Street, Maryhill, Dunedin"
4395,Bexley,Tauranga,3,Tauranga Place,"3 Truby King Street, Merrilands, New Plymouth"
4396,Birchville,Feilding,20,Blackhead Road,"20 Jacanas Place, Unsworth Heights, Auckland"
4397,Birkdale,Auckland,651,Ocean Breeze Drive,"651 Mt Brown Road, Broomfield"
4398,Birkenhead,Omokoroa,29,Kaiapo Road,"29 Manurere Avenue, Takapuna, Auckland"
4399,Bishopdale,Inglewood,1/39B,Ihaka Street,"1/39B Harrington Road, Henderson, Auckland"
4410,Blagdon,Taupo,50,Landsborough Drive,"50 Little Waihi Road, Maketu"
4412,Blaketown,Lower Hutt,23A,Queen Street,"23A Dyers Pass Road, Cashmere, Christchurch"
4414,Blockhouse Bay,Christchurch,135,Robin Lane,"135 Ashmore Street, Halfway Bush, Dunedin"
4440,Bluff Hill,Alexandra,285,Seadown Crescent,"285 East Takaka Road, East Takaka"
4441,Botany Downs,Edendale,1/18A,Papanui Road,"1/18A Fenwick Avenue, Milford, Auckland"
4442,Bottle Lake,Hamilton,21,Peel Place,"21 Marewa Street, Kew, Dunedin"
4443,Boulcott,Auckland,202,Doris Street,"202 Coast Road, Wainuiomata, Lower Hutt"
4444,Bradford,Dunedin,57,Greenpark Street,"57 Broadway, Matamata"
4445,Breaker Bay,Tauranga,204A,Awhitu Road,"204A Cook Drive, Whitianga"
4446,Bridge Hill,Palmerston North,18/81,Ebony Place,"18/81 Shakespeare Road, Milford, Auckland"
4448,Brighton,Tauranga,92,Walter Strevens Drive,"92 Notown Road, Arnold Valley"
4470,Britannia Heights,Palmerston North,10,Westpark Drive,"10 Northcroft Street, Takapuna, Auckland"
4471,Broad Bay,Christchurch,41B,Kentwood Drive,"41B Ranfurly Street, Hokowhitu, Palmerston North"
4473,Broadmeadows,Lower Hutt,39,Wall Place,"39 Vermont Street, Ponsonby, Auckland"
4474,Brockville,Auckland,133,New North Road,"133 Lowes Road, Rolleston"
4475,Bromley,Auckland,02 Dec,Ngaio Drive,"2/12 Dundas Street, The Wood, Nelson"
4476,Brooklands,Auckland,2C,Totara Road,"2C Larsen Street, Otara, Auckland"
4477,Brooklyn,Blenheim,25,Chalmers Street,"25 Millthorpe Crescent, Pukete, Hamilton"
4478,Broomfield,Kaitaia,64,Main South Road,"64 Utopia Park Heights, Welcome Bay, Tauranga"
4479,Brown Owl,Levin,16,Bellevue Road,"16 Saxon Street, Motueka"
4481,Browns Bay,Whanganui,10,Hastwell Street,"10 Four Mile Creek Road, Te Houka"
4500,Bryndwr,Auckland,163B,Upper Queen Street,"163B Knighton Road, Hillcrest, Hamilton"
4501,Bucklands Beach,Rotorua,96,Alamein Avenue,"96 Jumna Road, Maungaturoto"
4510,Burleigh,Wellington,19,Margate Avenue,"19 Elizabeth Avenue, Rakaia"
4520,Burnham Camp,Hamilton,9,Ida Road,"9 Benmohr Place, Tokoroa"
4540,Burnside,Porirua,15,Margaret Street,"15 Wilson Road, Kakaramea"
4541,Burswood,Christchurch,93,Hunter Street,"93 Russell Street, Dunedin Central, Dunedin"
4542,Burwood,Ohope,70,Margarita Rise,"70 Crosby Road, Chartwell, Hamilton"
4543,Calton Hill,Tairua,375,Kahika Road,"375 Huntly Road, Woodside"
4544,Camberley,Auckland,8,Park Road,"8 Cannon Drive, Kerikeri"
4545,Camborne,Mosgiel,73,Castle Street,"73 Devon Street, Glenholme, Rotorua"
4547,Camerons,Rotorua,27,Kiwi Lane,"27 Colesbury Street, Bishopdale, Christchurch"
4548,Campbells Bay,Richmond,5,Kilmarnock Street,"5 Fitzwilliam Terrace, Tawa, Wellington"
4549,Cannons Creek,Wellington,12,Wakefield-Kohatu Highway,"12 Boundary Road, Claudelands, Hamilton"
4571,Careys Bay,Ruakaka,35,Hawthorn Mews,"35 Huia Street, Pahiatua"
4572,Carters Beach,Whangamata,149A,Anthony Place,"149A Dixon Street, Te Aro, Wellington"
4573,Casebrook,Auckland,27,Malfroy Road,"27 Rimu Street, Inglewood"
4574,Cashmere,Auckland,58,Brighton Terrace,"58 Botanical Road, Takaro, Palmerston North"
4575,Cass Bay,Auckland,01 Mar,Rangatira Road,"1/3 Ian Place, Glendene, Auckland"
4576,Castlecliff,Auckland,374,Adel Place,"374 Pleasant Valley Road, Geraldine Downs"
4577,Castor Bay,Raglan,3,Stout Street,"3 Sioux Avenue, Wigram, Christchurch"
4578,Caversham,Tauranga,8,Scarborough Road,"8 Marsden Place, Awapuni, Palmerston North"
4581,Chartwell,Greymouth,3,Minginui Road,"3 Edinburgh Street, Auckland Central, Auckland"
4582,Chatswood,Auckland,4,Chatham Avenue,"4 Ngapaki Street, Waikanae Beach, Waikanae"
4584,Chedworth,Auckland,51,Carrington Street,"51 Scobie Road, Waverley, Dunedin"
4585,Christchurch Airport,Auckland,53,Rue Lavaud,"53 Awaroa Road, Helensville"
4586,Christchurch Central,Auckland,22,Seaview Road,"22 Victoria Road, Mount Maunganui"
4587,Churton Park,Auckland,70-74,Wainuiomata Road,"70-74 Chambers Street, Tokoroa"
4588,Clareville,Christchurch,14,Mako Street,"14 Oban Road, Westmere, Auckland"
4591,Claudelands,Tauranga,44,Coast Road,"44 Bayside Drive, Coopers Beach"
4592,Clendon Park,Christchurch,565,Taitokerau Way,"565 Cranford Street, Papanui, Christchurch"
4597,Clifton,Hamilton,652,Colombo Street,"652 Tremaine Avenue, Palmerston North"
4598,Clouston Park,Invercargill,20,St Leonards Road,"20 Martin Street, Palmerston North"
4610,Clover Park,Auckland,9,Harbour Road,"9 Gretton Way, Lower Shotover"
4612,Cloverlea,Christchurch,551,Bougainville Street,"551 Awahou Road, Ruatoki"
4614,Clyde Hill,Auckland,34,Victoria Road,"34 Esk Street, Parkvale, Tauranga"
4616,Cobden,Taipa,72B,Stanley Street,"72B James Road, Te Puna"
4625,Cockle Bay,Opotiki,62,Princes Street,"62 Juniper Road, Sunnynook, Auckland"
4632,College Estate,Kawerau,41A,Oakleigh Crescent,"41A Brownville Crescent, Maori Hill, Dunedin"
4640,Company Bay,Palmerston North,2/1125,Bretton Lane,"2/1125 New North Road, Mount Albert, Auckland"
4641,Concord,Auckland,99A,Dunstall Place,"99A Pukekauri Road, Waikino, Waihi"
4642,Conifer Grove,Invercargill,22,Waimea Street,"22 Driver Street, Long Beach"
4645,Cornwallis,Tauranga,145,Fitzroy Place,"145 Keri Vista Rise, Papakura"
4646,Corstorphine,Auckland,21,Karaka Road,"21 Tolcarne Avenue, Maori Hill, Dunedin"
4660,Cracroft,Mosgiel,41,Glenharrow Avenue,"41 Hotuhotu Street, Tauriko, Tauranga"
4671,Crofton Downs,Te Awamutu,28A,Chippendale Crescent,"28A Smithfield Road, Tawhero, Whanganui"
4672,Dallington,Auckland,9,Kendal Avenue,"9 Matai Road, Stanmore Bay, Whangaparaoa"
4673,Dalmore,Orewa,19,Waiau Street,"19 Alderson Road, Fairview Downs, Hamilton"
4674,Dannemora,Auckland,2,Cheviot Road,"2 Settler Lane, Ohaupo"
4675,Days Bay,Oamaru,13,Pomona Street,"13 Strathmore Avenue, Strathmore Park, Wellington"
4678,Deanwell,Christchurch,Feb 16,Tyndall Street,"2/16 Lancaster Road, Beach Haven, Auckland"
4679,Devonport,Paraparaumu,509/72,Stafford Street,"509/72 Nelson Street, Auckland Central, Auckland"
4681,Dinsdale,Dunedin,21,Arawata Terrace,"21 Sidwell Road, Wainui"
4682,Dunedin Central,Auckland,4,McEntee Road,"4 Lagoon View, Gulf Harbour, Whangaparaoa"
4684,Dunollie,Picton,1,Fairview Road,"1 Timbermill Road, Whenuapai, Auckland"
4685,Durie Hill,Hastings,479B,Beaumont Drive,"479B Windermere Road, Eiffelton"
4691,East Gore,Dunedin,Jan 23,Newbridge Place,"1/23 Howe Street, Howick, Auckland"
4694,East Taieri,Auckland,45,Cotswold Place,"45 Strasbourge Street, Martinborough"
4696,East Tamaki,Christchurch,41,Cairns Crescent,"41 Carlton Terrace, Westown, New Plymouth"
4702,East Tamaki Heights,Dunedin,115,West Tamaki Road,"115 Bolt Road, Annesbrook, Nelson"
4710,Eastbourne,Hawera,16,Kanohi Terrace,"16 Sudbury Terrace, Parnell, Auckland"
4720,Eastern Beach,Dunedin,7,Barbadoes Street,"7 Lewis Road, Pakuranga, Auckland"
4730,Ebdentown,Opotiki,142,Queen Street,"142 Top Mill Road, Raurimu"
4740,Eden Terrace,Mosgiel,64,Rawhiti Road,"64 Kohe Street, Parahaki, Whangarei"
4741,Edgeware,Nelson,1,McLeod Road,"1 Scenic Drive, Titirangi, Auckland"
4742,Elderslea,Whangarei,22B,Symonds Street,"22B Duke Street, Cambridge"
4744,Elgin,Auckland,179,Palmer Street,"179 Egerton Road, Winton"
4745,Ellerslie,Riverton,Mar 20,Hillary Street,"3/20 Dominion Street, Takapuna, Auckland"
4746,Elsdon,Napier,23,High Street,"23 Pentecost Road, Rangiora"
4771,Enderley,Dunedin,4,Clifden Highway,"4 Waterview Terrace, Omokoroa"
4774,Enner Glynn,Pauanui,1,Crown Range Road,"1 Kenmure Place, Bethlehem, Tauranga"
4775,Epsom,Whanganui,11,Pauanui Boulevard,"11 Taupiri Crescent, Titahi Bay, Porirua"
4777,Epuni,Timaru,Jan 82,Sheehan Street,"1/82 Stanniland Street, Sunnyhills, Auckland"
4779,Fairfield,Dunedin,20,New Road,"20 Willow Camp Road, Takanini"
4780,Fairview Downs,Tuakau,142,Stone Street,"142 South Road, Caversham, Dunedin"
4781,Fairview Heights,Gisborne,14,Victoria Road South,"14 Read Street, Levin"
4782,Farm Cove,Auckland,125,England Street,"125 Flagstaff Station Road, Athol"
4783,Favona,Auckland,44,Forrester Drive,"44 Wright Road, Point Chevalier, Auckland"
4784,Fendalton,Lower Hutt,Jul 36,Kings Road,"7/36 Leighton Avenue, Waiwhetu, Lower Hutt"
4785,Ferndale,Turangi,85,Twilight Bay,"85 Thompson Road, Twyford"
4786,Fernhill,Whanganui,928,Stratton Street,"928 Maniatutu Road, Pongakawa"
4787,Ferrymead,Auckland,20,Great North Road,"20 Silverton Road, Waihi"
4788,Fitzherbert,Waiheke Island,20,Zeehan Place,"20 Haughey Avenue, Three Kings, Auckland"
4789,Fitzroy,Auckland,28,Miners Road,"28 Webb Street, St Albans, Christchurch"
4791,Flagstaff,Napier,61,Pitfure Road,"61 Sommerville Road, Mauku"
4792,Flat Bush,Auckland,10,Sinclair Terrace,"10 Old Kiripaka Road, Kiripaka"
4793,Flaxmere,Te Awamutu,248,Laurie Avenue,"248 Parklands Road, Rotoorangi"
4794,Forbury,Porirua,15,Mountain Road,"15 Sarsfield Street, Southbridge"
4795,Forest Lake,Auckland,84,Muir Avenue,"84 Torkar Road, Clarks Beach"
4796,Forrest Hill,Wellington,526,Larisa Grove,"526 Sandspit Road, Warkworth"
4797,Foxton Beach,Gisborne,28A,Wilma Road,"28A Seaview Lane, Wainui"
4810,Frankleigh Park,Papamoa,22,Tims Crescent,"22 Rydal Street, Hoon Hay, Christchurch"
4814,Frankton,Whangarei,11,Wallnutt Avenue,"11 Mangawhero Road, Matamata"
4815,Freemans Bay,Auckland,04 Aug,Esk Street,"4/8 Morris Spence Avenue, Onekawa, Napier"
4816,Frimley,Napier,120,Avon Street,"120 Paraite Road, Paraite"
4817,Georgetown,Dunedin,149,Mazengarb Road,"149 Jackson Street, Petone, Lower Hutt"
4818,Gladstone,Christchurch,11,Flanders Avenue,"11 Pateke Way, Paraparaumu Beach, Paraparaumu"
4820,Glen Avon,Ohaupo,217,Rosalind Street,"217 Great North Road, Otamatea, Whanganui"
